"Name","Votes","Date","Rank","CID"
"ハローキティ","61511","2012/06/29 0:00:00","1","28"
"マイメロディ","51006","2012/06/29 0:00:00","2","3"
"リトルツインスターズ","41719","2012/06/29 0:00:00","3","54"
"ジュエルペット","29422","2012/06/29 0:00:00","4","95"
"シナモロール","29395","2012/06/29 0:00:00","5","77"
"ポムポムプリン","27452","2012/06/29 0:00:00","6","78"
"けろけろけろっぴ","14538","2012/06/29 0:00:00","7","34"
"クロミ","11720","2012/06/29 0:00:00","8","9"
"タキシードサム","11603","2012/06/29 0:00:00","9","22"
"チャーミーキティ","11481","2012/06/29 0:00:00","10","31"
"ゴーエクスパンダ（ゴーちゃん。）","10551","2012/06/29 0:00:00","11","100"
"ウィッシュミー　メル","10341","2012/06/29 0:00:00","12","5"
"ポチャッコ","10122","2012/06/29 0:00:00","13","79"
"パティ＆ジミー","9226","2012/06/29 0:00:00","14","69"
"マイマイ","9172","2012/06/29 0:00:00","15","80"
"バッドばつ丸","8242","2012/06/29 0:00:00","16","15"
"シュガーバニーズ","7679","2012/06/29 0:00:00","17","51"
"ハンギョドン","6141","2012/06/29 0:00:00","18","14"
"マロンクリーム","5845","2012/06/29 0:00:00","19","19"
"シンカンセン","4891","2012/06/29 0:00:00","20","74"
"ディアダニエル","4838","2012/06/29 0:00:00","21","21"
"あひるのペックル","4831","2012/06/29 0:00:00","22","93"
"おさるのもんきち","4577","2012/06/29 0:00:00","23","35"
"マシュマロみたいなふわふわにゃんこ","4154","2012/06/29 0:00:00","24","24"
"ウサハナ","4118","2012/06/29 0:00:00","25","1"
"チアリーチャム","3772","2012/06/29 0:00:00","26","12"
"ゴロ・ピカ・ドン","3769","2012/06/29 0:00:00","27","39"
"みんなのたあ坊","3614","2012/06/29 0:00:00","28","85"
"コロコロクリリン","2996","2012/06/29 0:00:00","29","8"
"ミスベアーズドリーム","2627","2012/06/29 0:00:00","30","41"
"パタパタペッピー","2534","2012/06/29 0:00:00","31","47"
"ニャ ニィ ニュ ニェ ニョン","2473","2012/06/29 0:00:00","32","44"
"シュガーメヌエット","2439","2012/06/29 0:00:00","33","53"
"バニー＆マッティ","2133","2012/06/29 0:00:00","34","2"
"ニョッキ＆ペンネ","2132","2012/06/29 0:00:00","35","26"
"カカオとバニラ","1873","2012/06/29 0:00:00","36","52"
"てのりくま","1843","2012/06/29 0:00:00","37","67"
"ぱんくんち","1785","2012/06/29 0:00:00","38","96"
"ぽこぽん日記","1778","2012/06/29 0:00:00","39","84"
"ザ　ボードビルデュオ","1702","2012/06/29 0:00:00","40","68"
"フランボアルゥルゥ","1673","2012/06/29 0:00:00","41","25"
"いちごの王さま","1636","2012/06/29 0:00:00","42","83"
"セブンシリードワーフス","1532","2012/06/29 0:00:00","43","46"
"ザシキブタ","1479","2012/06/29 0:00:00","44","20"
"パウ　ピポ","1369","2012/06/29 0:00:00","45","71"
