"Name","Votes","Date","Rank","CID"
"タイニーポエム","1356","2012/06/29 0:00:00","46","58"
"ちびまる","1326","2012/06/29 0:00:00","47","81"
"ザ　ラナバウツ","1248","2012/06/29 0:00:00","48","75"
"チョコキャット","1197","2012/06/29 0:00:00","49","32"
"るるる学園","1195","2012/06/29 0:00:00","50","94"
"ボタンノーズ","1148","2012/06/29 0:00:00","51","17"
"メローチューン","1090","2012/06/29 0:00:00","52","27"
"ぽんぽんひえた","1047","2012/06/29 0:00:00","53","38"
"ノラネコランド","974","2012/06/29 0:00:00","54","40"
"たらいぐまのらんどりー","968","2012/06/29 0:00:00","55","10"
"ウメ屋雑貨店","947","2012/06/29 0:00:00","56","57"
"プワワ","932","2012/06/29 0:00:00","57","92"
"パンナピッタ","874","2012/06/29 0:00:00","58","99"
"ウィー・メリールー","873","2012/06/29 0:00:00","59","16"
"ミスター　ベアーズ　ドリーム","850","2012/06/29 0:00:00","60","42"
"ビートロイド","781","2012/06/29 0:00:00","61","13"
"ウィンキーピンキー","718","2012/06/29 0:00:00","62","30"
"パンダップル","717","2012/06/29 0:00:00","63","98"
"ねむっこにゃーご","702","2012/06/29 0:00:00","64","29"
"スウィートコロン","679","2012/06/29 0:00:00","65","73"
"キッズベア","661","2012/06/29 0:00:00","66","64"
"こぶたのピッポ","643","2012/06/29 0:00:00","67","36"
"ディアリー　ルー","566","2012/06/29 0:00:00","68","49"
"スモールピープル","554","2012/06/29 0:00:00","69","18"
"ミミックマイク","521","2012/06/29 0:00:00","70","82"
"ちょこぱんだ","517","2012/06/29 0:00:00","71","97"
"へーすけ","502","2012/06/29 0:00:00","72","37"
"八千代チャーマー","498","2012/06/29 0:00:00","73","56"
"カルチャーショック","488","2012/06/29 0:00:00","74","60"
"シュガークリームパフ","487","2012/06/29 0:00:00","75","43"
"おきがるふれんず","464","2012/06/29 0:00:00","76","6"
"ララバイラバブルズ","464","2012/06/29 0:00:00","76","55"
"コロちゃん","463","2012/06/29 0:00:00","78","62"
"ウィアー　ダイナソアーズ","402","2012/06/29 0:00:00","79","11"
"ボ・ボクねずみ小僧だい！","358","2012/06/29 0:00:00","80","59"
"ブーギーウー","356","2012/06/29 0:00:00","81","45"
"フレンドリーコッコちゃん","354","2012/06/29 0:00:00","82","33"
"てつなぎクマ","346","2012/06/29 0:00:00","83","63"
"だちょのすけ","346","2012/06/29 0:00:00","83","70"
"ギミーファイブ","286","2012/06/29 0:00:00","85","90"
"ロビーラビット","263","2012/06/29 0:00:00","86","4"
"ピーター　デイビス","260","2012/06/29 0:00:00","87","23"
"ベアロビクス","260","2012/06/29 0:00:00","87","61"
"リトルコットンウッドコテージ","259","2012/06/29 0:00:00","89","50"
"スティル スモール テールズ","247","2012/06/29 0:00:00","90","72"
"トゥイーディードロップス","233","2012/06/29 0:00:00","91","7"
"プカプカパラダイス","230","2012/06/29 0:00:00","92","87"
"カッパルンバ","210","2012/06/29 0:00:00","93","86"
"スパンキーバロー","209","2012/06/29 0:00:00","94","48"
"スポッティドッティ","208","2012/06/29 0:00:00","95","76"
"ホリーズベアー","201","2012/06/29 0:00:00","96","66"
"キャプテンウィリー","168","2012/06/29 0:00:00","97","88"
"ファン　カム　アライブ","129","2012/06/29 0:00:00","98","89"
"トゥィードルディーディー","108","2012/06/29 0:00:00","99","65"
"ゲーターギャグス","61","2012/06/29 0:00:00","100","91"
